UniProt ID,Gene,Protein Name,Panel
Q8IUN9,CLEC10A,C-type lectin domain family 10 member A,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neurology"
Q96EP0,RNF31,E3 ubiquitin-protein ligase RNF31,"Explore HT assay library, Olink Explore Inflammation II, Olink Target 96 Neuro Exploratory"
P02771,AFP,Alpha-fetoprotein,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Oncology III"
O15197,EPHB6,Ephrin type-B receptor 6,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neurology"
Q6UXG3,CD300LG,CMRF35-like molecule 9,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Development"
P49023,PXN,Paxillin,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Organ Damage"
Q9Y279,VSIG4,V-set and immunoglobulin domain-containing protein 4,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Development"
Q2MKA7,RSPO1,R-spondin-1,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neurology"
Q9HAW4,CLSPN,Claspin,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Organ Damage"
Q5JZY3,EPHA10,Ephrin type-A receptor 10,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neuro Exploratory"
Q9H0C8,ILKAP,Integrin-linked kinase-associated serine/threonine phosphatase 2C,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neuro Exploratory"
Q8N2G4,LYPD1,Ly6/PLAUR domain-containing protein 1,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Cell Regulation"
O00214,LGALS8,Galectin-8,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neurology"
O00308,WWP2,NEDD4-like E3 ubiquitin-protein ligase WWP2,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neuro Exploratory"
O60242,ADGRB3,Adhesion G protein-coupled receptor B3,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neuro Exploratory"
O75688,PPM1B,Protein phosphatase 1B,"Explore HT assay library, Olink Explore Inflammation II, Olink Target 96 Organ Damage"
O96013,PAK4,Serine/threonine-protein kinase PAK 4,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Cell Regulation"
P07306,ASGR1,Asialoglycoprotein receptor 1,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neuro Exploratory"
P11464,PSG1,Pregnancy-specific beta-1-glycoprotein 1,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neuro Exploratory"
P13385,TDGF1,Teratocarcinoma-derived growth factor 1,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neuro Exploratory"
P14384,CPM,Carboxypeptidase M,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neurology"
P38484,IFNGR2,Interferon gamma receptor 2,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Oncology III"
P41208,CETN2,Centrin-2,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neuro Exploratory"
P48052,CPA2,Carboxypeptidase A2,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neurology"
P51452,DUSP3,Dual specificity protein phosphatase 3,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neuro Exploratory"
P52798,EFNA4,Ephrin-A4,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neurology"
P52943,CRIP2,Cysteine-rich protein 2,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neuro Exploratory"
P53582,METAP1,Methionine aminopeptidase 1,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Organ Damage"
P58417,NXPH1,Neurexophilin-1,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neuro Exploratory"
P63313,TMSB10,Thymosin beta-10,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Development"
Q08629,SPOCK1,Testican-1,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neurology"
Q14112,NID2,Nidogen-2,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Development"
Q14696,MESD,LRP chaperone MESD,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Development"
Q2TAL6,VWC2,Brorin,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neurology"
Q6ISS4,LAIR2,Leukocyte-associated immunoglobulin-like receptor 2,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neurology"
Q6NW40,RGMB,Repulsive guidance molecule B,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neurology"
Q6UWL6,KIRREL2,Kin of IRRE-like protein 2,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neuro Exploratory"
Q6UXK2,ISLR2,Immunoglobulin superfamily containing leucine-rich repeat protein 2,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neuro Exploratory"
Q6YHK3,CD109,CD109 antigen,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Development"
Q6ZMJ2,SCARA5,Scavenger receptor class A member 5,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neurology"
Q86T13,CLEC14A,C-type lectin domain family 14 member A,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Development"
Q86WV1,SKAP1,Src kinase-associated phosphoprotein 1,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Cell Regulation"
Q8NBI3,DRAXIN,Draxin,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neurology"
Q8TCZ2,CD99L2,CD99 antigen-like protein 2,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Development"
Q8WUW1,BRK1,Protein BRICK1,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Oncology III"
Q969Z4,RELT,Tumor necrosis factor receptor superfamily member 19L,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Development"
Q96B86,RGMA,Repulsive guidance molecule A,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neurology"
Q96NZ8,WFIKKN1,"WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 1","Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neurology"
Q96RD9,FCRL5,Fc receptor-like protein 5,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Development"
Q99426,TBCB,Tubulin-folding cofactor B,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neuro Exploratory"
Q9BW30,TPPP3,Tubulin polymerization-promoting protein family member 3,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neuro Exploratory"
Q9H3S3,TMPRSS5,Transmembrane protease serine 5,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neurology"
Q9NQ38,SPINK5,Serine protease inhibitor Kazal-type 5,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Development"
Q9NRG1,PRTFDC1,Phosphoribosyltransferase domain-containing protein 1,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neuro Exploratory"
Q9P0K1,ADAM22,Disintegrin and metalloproteinase domain-containing protein 22,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neurology"
Q9UBT3,DKK4,Dickkopf-related protein 4,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neurology"
Q9UHV9,PFDN2,Prefoldin subunit 2,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neuro Exploratory"
Q9UJ72,ANXA10,Annexin A10,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neuro Exploratory"
Q9Y2V2,CARHSP1,Calcium-regulated heat-stable protein 1,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neuro Exploratory"
Q9Y2W6,TDRKH,Tudor and KH domain-containing protein,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Cell Regulation"
Q29980_Q29983,MICB_MICA,MHC class I polypeptide-related sequence A_MHC class I polypeptide-related sequence B,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Immuno-Oncology, Olink Target 96 Oncology II"
P29459_P29460,IL12A_IL12B,Interleukin-12,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Immuno-Oncology, Olink Target 96 Neurology"
NTproBNP,NTproBNP,N-terminal prohormone of brain natriuretic peptide,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III, Olink Target 96 Metabolism"
P21217_Q11128,FUT3_FUT5,3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase FUT3_4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase FUT5,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Development"
P07858,CTSB,Cathepsin B,"Explore HT assay library, Olink Explore Cardiometabolic"
P08571,CD14,Monocyte differentiation antigen CD14,"Explore HT assay library, Olink Explore Cardiometabolic"
O76096,CST7,Cystatin-F,"Explore HT assay library, Olink Explore Inflammation"
P14902,IDO1,"Indoleamine 2,3-dioxygenase 1","Explore HT assay library, Olink Explore Cardiometabolic II, Olink Explore Inflammation II, Olink Explore Neurology II, Olink Explore Oncology II"
P19440,GGT1,Glutathione hydrolase 1 proenzyme,"Explore HT assay library, Olink Explore Neurology"
O14841,OPLAH,5-oxoprolinase,"Explore HT assay library, Olink Explore Cardiometabolic II"
O75223,GGCT,Gamma-glutamylcyclotransferase,"Explore HT assay library, Olink Explore Cardiometabolic II"
P48507,GCLM,Glutamate--cysteine ligase regulatory subunit,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q8WUX2,CHAC2,Glutathione-specific gamma-glutamylcyclotransferase 2,"Explore HT assay library, Olink Explore Oncology"
P49862,KLK7,Kallikrein-7,"Explore HT assay library, Olink Explore Inflammation II"
P02461,COL3A1,Collagen alpha-1(III) chain,"Explore HT assay library, Olink Explore Cardiometabolic II"
O43184,ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,"Explore HT assay library, Olink Explore Inflammation II"
P98095,FBLN2,Fibulin-2,"Explore HT assay library, Olink Explore Cardiometabolic II"
P15502,ELN,Elastin,"Explore HT assay library, Olink Explore Cardiometabolic II"
O00468,AGRN,Agrin,"Explore HT assay library, Olink Explore Inflammation"
P20702,ITGAX,Integrin alpha-X,"Explore HT assay library, Olink Explore Oncology II"
P16035,TIMP2,Metalloproteinase inhibitor 2,"Explore HT assay library, Olink Explore Cardiometabolic II"
P55082,MFAP3,Microfibril-associated glycoprotein 3,"Explore HT assay library, Olink Explore Cardiometabolic"
P61812,TGFB2,Transforming growth factor beta-2 proprotein,"Explore HT assay library, Olink Explore Oncology II"
O75718,CRTAP,Cartilage-associated protein,"Explore HT assay library, Olink Explore Neurology II"
Q17RW2,COL24A1,Collagen alpha-1(XXIV) chain,"Explore HT assay library, Olink Explore Oncology II"
P35556,FBN2,Fibrillin-2,"Explore HT assay library, Olink Explore Neurology II"
P12270,TPR,Nucleoprotein TPR,"Explore HT assay library, Olink Explore Cardiometabolic II"
O00626,CCL22,C-C motif chemokine 22,"Explore HT assay library, Olink Explore Inflammation"
P42081,CD86,T-lymphocyte activation antigen CD86,"Explore HT assay library, Olink Explore Oncology II"
Q14242,SELPLG,P-selectin glycoprotein ligand 1,"Olink Explore Inflammation, Olink Target 96 Cardiovascular II"
P36959,GMPR,GMP reductase 1,"Explore HT assay library, Olink Explore Inflammation"
P22304,IDS,Iduronate 2-sulfatase,"Explore HT assay library, Olink Explore Inflammation"
Q9BT73,PSMG3,Proteasome assembly chaperone 3,"Explore HT assay library, Olink Explore Inflammation"
Q6ZMH5,SLC39A5,Zinc transporter ZIP5,"Explore HT assay library, Olink Explore Inflammation"
P02750,LRG1,Leucine-rich alpha-2-glycoprotein,"Explore HT assay library, Olink Explore Inflammation II"
Q12846,STX4,Syntaxin-4,"Explore HT assay library, Olink Explore Oncology"
Q6ZMJ4,IL34,Interleukin-34,"Explore HT assay library, Olink Explore Neurology"
Q13277,STX3,Syntaxin-3,"Explore HT assay library, Olink Explore Neurology II"
P60880,SNAP25,Synaptosomal-associated protein 25,"Explore HT assay library, Olink Explore Neurology II"
P07333,CSF1R,Macrophage colony-stimulating factor 1 receptor,"Explore HT assay library, Olink Explore Inflammation II"
P23471,PTPRZ1,Receptor-type tyrosine-protein phosphatase zeta,"Explore HT assay library, Olink Explore Cardiometabolic II"
P63010,AP2B1,AP-2 complex subunit beta,"Explore HT assay library, Olink Explore Neurology II"
P46060,RANGAP1,Ran GTPase-activating protein 1,"Explore HT assay library, Olink Explore Oncology"
P61769,B2M,Beta-2-microglobulin,"Explore HT assay library, Olink Explore Inflammation II"
Q9UKX7,NUP50,Nuclear pore complex protein Nup50,"Explore HT assay library, Olink Explore Cardiometabolic II"
P49792,RANBP2,E3 SUMO-protein ligase RanBP2,"Explore HT assay library, Olink Explore Neurology II"
Q99460,PSMD1,26S proteasome non-ATPase regulatory subunit 1,"Explore HT assay library, Olink Explore Neurology II"
P17980,PSMC3,26S proteasome regulatory subunit 6A,"Explore HT assay library, Olink Explore Oncology II"
Q16401,PSMD5,26S proteasome non-ATPase regulatory subunit 5,"Explore HT assay library, Olink Explore Neurology II"
P18754,RCC1,Regulator of chromosome condensation,"Explore HT assay library, Olink Explore Oncology II"
P43487,RANBP1,Ran-specific GTPase-activating protein,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q9UL46,PSME2,Proteasome activator complex subunit 2,"Explore HT assay library, Olink Explore Neurology"
Q15370,ELOB,Elongin-B,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q15735,INPP5J,"Phosphatidylinositol 4,5-bisphosphate 5-phosphatase A","Explore HT assay library, Olink Explore Neurology II"
Q6UWW0,LCN15,Lipocalin-15,"Explore HT assay library, Olink Explore Neurology II"
P04118,CLPS,Colipase,"Explore HT assay library, Olink Explore Neurology"
Q9BQS7,HEPH,Hephaestin,"Explore HT assay library, Olink Explore Cardiometabolic II"
O95965,ITGBL1,Integrin beta-like protein 1,"Explore HT assay library, Olink Explore Cardiometabolic II"
P22455,FGFR4,Fibroblast growth factor receptor 4,"Explore HT assay library, Olink Explore Inflammation II"
P50583,NUDT2,Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical],"Explore HT assay library, Olink Explore Oncology"
O43889,CREB3,Cyclic AMP-responsive element-binding protein 3,"Explore HT assay library, Olink Explore Oncology II"
P04114,APOB,Apolipoprotein B-100,"Explore HT assay library, Olink Explore Inflammation II"
O95817,BAG3,BAG family molecular chaperone regulator 3,"Explore HT assay library, Olink Explore Neurology"
P0DMV8,HSPA1A,Heat shock 70 kDa protein 1A,"Explore HT assay library, Olink Explore Inflammation"
P54274,TERF1,Telomeric repeat-binding factor 1,"Explore HT assay library, Olink Explore Inflammation II"
P50502,ST13,Hsc70-interacting protein,"Explore HT assay library, Olink Explore Inflammation II"
P15336,ATF2,Cyclic AMP-dependent transcription factor ATF-2,"Explore HT assay library, Olink Explore Neurology"
Q8N163,CCAR2,Cell cycle and apoptosis regulator protein 2,"Explore HT assay library, Olink Explore Neurology II"
Q969H8,MYDGF,Myeloid-derived growth factor,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q9P2X3,IMPACT,Protein IMPACT,"Explore HT assay library, Olink Explore Neurology II"
Q8WW22,DNAJA4,DnaJ homolog subfamily A member 4,"Explore HT assay library, Olink Explore Neurology II"
P24864,CCNE1,G1/S-specific cyclin-E1,"Explore HT assay library, Olink Explore Inflammation II"
P23511,NFYA,Nuclear transcription factor Y subunit alpha,"Explore HT assay library, Olink Explore Cardiometabolic II"
P20042,EIF2S2,Eukaryotic translation initiation factor 2 subunit 2,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q99683,MAP3K5,Mitogen-activated protein kinase kinase kinase 5,"Explore HT assay library, Olink Explore Oncology"
O95429,BAG4,BAG family molecular chaperone regulator 4,"Explore HT assay library, Olink Explore Inflammation II"
O14618,CCS,Copper chaperone for superoxide dismutase,"Explore HT assay library, Olink Explore Neurology"
P35611,ADD1,Alpha-adducin,"Explore HT assay library, Olink Explore Inflammation II"
Q14554,PDIA5,Protein disulfide-isomerase A5,"Explore HT assay library, Olink Explore Oncology II"
P10606,COX5B,"Cytochrome c oxidase subunit 5B, mitochondrial","Explore HT assay library, Olink Explore Oncology"
P29353,SHC1,SHC-transforming protein 1,"Explore HT assay library, Olink Explore Oncology II"
P10599,TXN,Thioredoxin,"Explore HT assay library, Olink Explore Inflammation II"
P07148,FABP1,"Fatty acid-binding protein, liver","Explore HT assay library, Olink Explore Inflammation"
P68400,CSNK2A1,Casein kinase II subunit alpha,"Explore HT assay library, Olink Explore Neurology II"
O95670,ATP6V1G2,V-type proton ATPase subunit G 2,"Explore HT assay library, Olink Explore Cardiometabolic II"
O43504,LAMTOR5,Ragulator complex protein LAMTOR5,"Explore HT assay library, Olink Explore Oncology II"
P31689,DNAJA1,DnaJ homolog subfamily A member 1,"Explore HT assay library, Olink Explore Oncology II"
O94979,SEC31A,Protein transport protein Sec31A,"Explore HT assay library, Olink Explore Cardiometabolic II"
P06401,PGR,Progesterone receptor,"Explore HT assay library, Olink Explore Inflammation II"
P02647,APOA1,Apolipoprotein A-I,"Explore HT assay library, Olink Explore Inflammation II"
O75506,HSBP1,Heat shock factor-binding protein 1,"Explore HT assay library, Olink Explore Cardiometabolic II"
O00244,ATOX1,Copper transport protein ATOX1,"Explore HT assay library, Olink Explore Oncology"
Q14204,DYNC1H1,Cytoplasmic dynein 1 heavy chain 1,"Explore HT assay library, Olink Explore Oncology II"
P08294,SOD3,Extracellular superoxide dismutase [Cu-Zn],"Explore HT assay library, Olink Explore Inflammation II"
P55273,CDKN2D,Cyclin-dependent kinase 4 inhibitor D,"Explore HT assay library, Olink Explore Oncology"
Q8NHZ8,CDC26,Anaphase-promoting complex subunit CDC26,"Explore HT assay library, Olink Explore Oncology II"
P01100,FOS,Protein c-Fos,"Explore HT assay library, Olink Explore Oncology II"
P17676,CEBPB,CCAAT/enhancer-binding protein beta,"Explore HT assay library, Olink Explore Cardiometabolic"
P15927,RPA2,Replication protein A 32 kDa subunit,"Explore HT assay library, Olink Explore Inflammation II"
P50914,RPL14,Large ribosomal subunit protein eL14,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q13509,TUBB3,Tubulin beta-3 chain,"Explore HT assay library, Olink Explore Neurology II"
Q16881,TXNRD1,"Thioredoxin reductase 1, cytoplasmic","Explore HT assay library, Olink Explore Neurology"
O60884,DNAJA2,DnaJ homolog subfamily A member 2,"Explore HT assay library, Olink Explore Inflammation"
Q9NZJ5,EIF2AK3,Eukaryotic translation initiation factor 2-alpha kinase 3,"Explore HT assay library, Olink Explore Cardiometabolic II"
O00399,DCTN6,Dynactin subunit 6,"Explore HT assay library, Olink Explore Neurology"
Q96EB6,SIRT1,NAD-dependent protein deacetylase sirtuin-1,"Explore HT assay library, Olink Explore Inflammation II"
P20700,LMNB1,Lamin-B1,"Explore HT assay library, Olink Explore Oncology II"
P19838,NFKB1,Nuclear factor NF-kappa-B p105 subunit,"Explore HT assay library, Olink Explore Cardiometabolic II"
P18848,ATF4,Cyclic AMP-dependent transcription factor ATF-4,"Explore HT assay library, Olink Explore Oncology II"
O75460,ERN1,Serine/threonine-protein kinase/endoribonuclease IRE1,"Explore HT assay library, Olink Explore Oncology II"
O00206,TLR4,Toll-like receptor 4,"Explore HT assay library, Olink Explore Inflammation II"
O00327,BMAL1,Basic helix-loop-helix ARNT-like protein 1,"Explore HT assay library, Olink Explore Cardiometabolic II"
P32119,PRDX2,Peroxiredoxin-2,"Explore HT assay library, Olink Explore Inflammation II"
P14854,COX6B1,Cytochrome c oxidase subunit 6B1,"Explore HT assay library, Olink Explore Cardiometabolic II"
O75348,ATP6V1G1,V-type proton ATPase subunit G 1,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q9Y6Y9,LY96,Lymphocyte antigen 96,"Explore HT assay library, Olink Explore Neurology"
Q9NWM8,FKBP14,Peptidyl-prolyl cis-trans isomerase FKBP14,"Explore HT assay library, Olink Explore Neurology II"
P49137,MAPKAPK2,MAP kinase-activated protein kinase 2,"Explore HT assay library, Olink Explore Oncology II"
P54652,HSPA2,Heat shock-related 70 kDa protein 2,"Explore HT assay library, Olink Explore Oncology II"
P46783,RPS10,Small ribosomal subunit protein eS10,"Explore HT assay library, Olink Explore Cardiometabolic II"
P04040,CAT,Catalase,"Explore HT assay library, Olink Explore Inflammation II"
Q9Y4L1,HYOU1,Hypoxia up-regulated protein 1,"Explore HT assay library, Olink Explore Cardiometabolic"
Q8N4C8,MINK1,Misshapen-like kinase 1,"Explore HT assay library, Olink Explore Neurology II"
Q92935,EXTL1,Exostosin-like 1,"Explore HT assay library, Olink Explore Cardiometabolic II"
O60496,DOK2,Docking protein 2,"Explore HT assay library, Olink Explore Cardiometabolic"
O60664,PLIN3,Perilipin-3,"Explore HT assay library, Olink Explore Cardiometabolic"
O75340,PDCD6,Programmed cell death protein 6,"Explore HT assay library, Olink Explore Cardiometabolic"
O94903,PLPBP,Pyridoxal phosphate homeostasis protein,"Explore HT assay library, Olink Explore Cardiometabolic"
P00568,AK1,Adenylate kinase isoenzyme 1,"Explore HT assay library, Olink Explore Cardiometabolic"
P08263,GSTA1,Glutathione S-transferase A1,"Explore HT assay library, Olink Explore Cardiometabolic"
P10644,PRKAR1A,cAMP-dependent protein kinase type I-alpha regulatory subunit,"Explore HT assay library, Olink Explore Cardiometabolic"
P21549,AGXT,Alanine--glyoxylate aminotransferase,"Explore HT assay library, Olink Explore Cardiometabolic"
P40189,IL6ST,Interleukin-6 receptor subunit beta,"Explore HT assay library, Olink Explore Cardiometabolic"
P41218,MNDA,Myeloid cell nuclear differentiation antigen,"Explore HT assay library, Olink Explore Cardiometabolic"
Q03154,ACY1,Aminoacylase-1,"Explore HT assay library, Olink Explore Cardiometabolic"
Q05315,CLC,Galectin-10,"Explore HT assay library, Olink Explore Cardiometabolic"
Q15067,ACOX1,Peroxisomal acyl-coenzyme A oxidase 1,"Explore HT assay library, Olink Explore Cardiometabolic"
Q6GTS8,PM20D1,N-fatty-acyl-amino acid synthase/hydrolase PM20D1,"Explore HT assay library, Olink Explore Cardiometabolic"
Q6PJW8,CNST,Consortin,"Explore HT assay library, Olink Explore Cardiometabolic"
Q969P0,IGSF8,Immunoglobulin superfamily member 8,"Explore HT assay library, Olink Explore Cardiometabolic"
Q99674,CGREF1,Cell growth regulator with EF hand domain protein 1,"Explore HT assay library, Olink Explore Cardiometabolic"
Q9H7M9,VSIR,V-type immunoglobulin domain-containing suppressor of T-cell activation,"Explore HT assay library, Olink Explore Cardiometabolic"
Q9Y5X1,SNX9,Sorting nexin-9,"Explore HT assay library, Olink Explore Cardiometabolic"
Q8N423,LILRB2,Leukocyte immunoglobulin-like receptor subfamily B member 2,"Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic"
Q8NHL6,LILRB1,Leukocyte immunoglobulin-like receptor subfamily B member 1,"Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic"
P00750,PLAT,Tissue-type plasminogen activator,"Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III"
P02144,MB,Myoglobin,"Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III"
Q9NNX6,CD209,CD209 antigen,"Olink Explore Cardiometabolic, Olink Target 96 Development"
O00584,RNASET2,Ribonuclease T2,"Explore HT assay library, Olink Explore Cardiometabolic"
P04054,PLA2G1B,Phospholipase A2,"Explore HT assay library, Olink Explore Cardiometabolic"
P09093,CELA3A,Chymotrypsin-like elastase family member 3A,"Explore HT assay library, Olink Explore Cardiometabolic"
P12111,COL6A3,Collagen alpha-3(VI) chain,"Explore HT assay library, Olink Explore Cardiometabolic"
P14555,PLA2G2A,"Phospholipase A2, membrane associated","Explore HT assay library, Olink Explore Cardiometabolic"
P31146,CORO1A,Coronin-1A,"Explore HT assay library, Olink Explore Cardiometabolic"
P48304,REG1B,Lithostathine-1-beta,"Explore HT assay library, Olink Explore Cardiometabolic"
Q07507,DPT,Dermatopontin,"Explore HT assay library, Olink Explore Cardiometabolic"
Q86U17,SERPINA11,Serpin A11,"Explore HT assay library, Olink Explore Cardiometabolic"
Q8TDL5,BPIFB1,BPI fold-containing family B member 1,"Explore HT assay library, Olink Explore Cardiometabolic"
O75015,FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,"Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic"
A1L4H1,SSC5D,Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D,"Explore HT assay library, Olink Explore Cardiometabolic"
P00740,F9,Coagulation factor IX,"Explore HT assay library, Olink Explore Cardiometabolic"
P08174,CD55,Complement decay-accelerating factor,"Explore HT assay library, Olink Explore Cardiometabolic"
P18428,LBP,Lipopolysaccharide-binding protein,"Explore HT assay library, Olink Explore Cardiometabolic"
P41222,PTGDS,Prostaglandin-H2 D-isomerase,"Explore HT assay library, Olink Explore Cardiometabolic"
P43121,MCAM,Cell surface glycoprotein MUC18,"Explore HT assay library, Olink Explore Cardiometabolic"
Q06033,ITIH3,Inter-alpha-trypsin inhibitor heavy chain H3,"Explore HT assay library, Olink Explore Cardiometabolic"
Q12794,HYAL1,Hyaluronidase-1,"Explore HT assay library, Olink Explore Cardiometabolic"
Q13508,ART3,Ecto-ADP-ribosyltransferase 3,"Explore HT assay library, Olink Explore Cardiometabolic"
Q92820,GGH,Gamma-glutamyl hydrolase,"Explore HT assay library, Olink Explore Cardiometabolic"
Q9NZK5,ADA2,Adenosine deaminase 2,"Explore HT assay library, Olink Explore Cardiometabolic"
O15354,GPR37,Prosaposin receptor GPR37,"Explore HT assay library, Olink Explore Cardiometabolic"
O60635,TSPAN1,Tetraspanin-1,"Explore HT assay library, Olink Explore Cardiometabolic"
O95684,CEP43,Centrosomal protein 43,"Explore HT assay library, Olink Explore Cardiometabolic"
O96017,CHEK2,Serine/threonine-protein kinase Chk2,"Explore HT assay library, Olink Explore Cardiometabolic"
P08319,ADH4,All-trans-retinol dehydrogenase [NAD(+)] ADH4,"Explore HT assay library, Olink Explore Cardiometabolic"
P09496,CLTA,Clathrin light chain A,"Explore HT assay library, Olink Explore Cardiometabolic"
P13807,GYS1,"Glycogen [starch] synthase, muscle","Explore HT assay library, Olink Explore Cardiometabolic"
P17516,AKR1C4,Aldo-keto reductase family 1 member C4,"Explore HT assay library, Olink Explore Cardiometabolic"
P31483,TIA1,Cytotoxic granule associated RNA binding protein TIA1,"Explore HT assay library, Olink Explore Cardiometabolic"
P34913,EPHX2,Bifunctional epoxide hydrolase 2,"Explore HT assay library, Olink Explore Cardiometabolic"
P34947,GRK5,G protein-coupled receptor kinase 5,"Explore HT assay library, Olink Explore Cardiometabolic"
P34998,CRHR1,Corticotropin-releasing factor receptor 1,"Explore HT assay library, Olink Explore Cardiometabolic"
P36952,SERPINB5,Serpin B5,"Explore HT assay library, Olink Explore Cardiometabolic"
P52789,HK2,Hexokinase-2,"Explore HT assay library, Olink Explore Cardiometabolic"
P55259,GP2,Pancreatic secretory granule membrane major glycoprotein GP2,"Explore HT assay library, Olink Explore Cardiometabolic"
P58546,MTPN,Myotrophin,"Explore HT assay library, Olink Explore Cardiometabolic"
P61978,HNRNPK,Heterogeneous nuclear ribonucleoprotein K,"Explore HT assay library, Olink Explore Cardiometabolic"
P62736,ACTA2,"Actin, aortic smooth muscle","Explore HT assay library, Olink Explore Cardiometabolic"
Q15831,STK11,Serine/threonine-protein kinase STK11,"Explore HT assay library, Olink Explore Cardiometabolic"
Q6UWL2,SUSD1,Sushi domain-containing protein 1,"Explore HT assay library, Olink Explore Cardiometabolic"
Q8NHS0,DNAJB8,DnaJ homolog subfamily B member 8,"Explore HT assay library, Olink Explore Cardiometabolic"
Q96A56,TP53INP1,Tumor protein p53-inducible nuclear protein 1,"Explore HT assay library, Olink Explore Cardiometabolic"
Q96N03,VSTM2L,V-set and transmembrane domain-containing protein 2-like protein,"Explore HT assay library, Olink Explore Cardiometabolic"
